Label;Denomination;Content;Rock type / Mineral;Location;Producer;Comments;Links
MRG-1;CCRMP CAN MET;Gabbro;Gabbro;Mount Royal ;;~15g;
MRG-1;Mount Royal Gabbro MR>G-1;Gabbro;Gabbro;Ottawa;Geological Survey of Canada;;
NBS 1633a;coal fly ash;;;;;;
NBS 1645;Rirer Sediment;;;;;;
NBS 180;High-grade Fluorspar;;;;;;
NBS 27 e;Iron ore ;;;;;;
NBS 688;Cenocoic basalt flow;Basalt;Basalt;Jackpot, NV;;NBS SRM-688;
NBS 99a;Sodium- Feldspar;Feldspar;Soda Feldspar;;;;
NBS-1c;Argillaceous;Limestone;Limestone;;;Roth Nr. 2586;
NBS-1c;NBS-1c Argillaceous ;Limestone;Limestone;;;Roth Nr. 2586;
NHS-3S;;;;;;;
NIM 1476;NiM 74/76;;;;;7,38 ppm Au;
NIM 2478;NiM 24/78;;;;;0,83 ppm Au;
NIM-D;SARM 6  SAVM;Dunite;Dunite;;SABS;3 266;
NIM-G;SARM-1;Granite;Granite;;;;
NIM-G;;Granite;Granite;;;Roth Nr.2568;
NIM-G;SARM 1  SAVM;;Granite;;SABS;3/336;
NIM-L;;;Lujavrite;;;Roth Nr.2586;
NIM-L;SARM 3  SAVM;;Lujavrite;;SABS;3 289;
NIM-N;SARM 4  SAVM;;Norite;;SABS;3 124;
NIM-P;;Peridotite;Peridotite;;;Roth Nr.2586;
NIM-P;SARM 5  SAVM;;Pyroxenite;;SABS;3 278;
NIM-S;SARM 2  SAVM;Syenite;Syenite;;SABS;3/352;
NIST 610;;Synthetic Silicate Glass;Synthetic Silicate Glass;;National Institute for Standards and Technology (NIST);;https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1751-908X.1997.tb00538.x
NIST 612;;Synthetic Silicate Glass;Synthetic Silicate Glass;;National Institute for Standards and Technology (NIST);;https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1751-908X.1997.tb00538.x
NIST 614;;Synthetic Silicate Glass;Synthetic Silicate Glass;;National Institute for Standards and Technology (NIST);;https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1751-908X.2011.00120.x
NIST 616;;Synthetic Silicate Glass;Synthetic Silicate Glass;;National Institute for Standards and Technology (NIST);;https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1751-908X.2011.00120.x
NOD-A-1;collected along the Blake Plateau (depth 788m);Manganese;Manganese Nodule;Atlantic Ocean (31° 02' N, 78° 22' W);United States Geological Survey;;http://minerals.cr.usgs.gov/geo_chem_stand/mangana1.html
NOD-P-1;collected at a depth of 4300 meters;Manganese;Manganese Nodule;Pacific Ocean (14° 50' N, 124° 28' W);United States Geological Survey;;http://minerals.cr.usgs.gov/geo_chem_stand/mangana1.html, weitergeleitet zu: https://www.usgs.gov/centers/gggsc
NP;;;Phonolite;KTB;;;
OKT;OK-TEDI;;;;;;
OKT;OKT-TEDi;;;;;Erz A, 2,54 Au;
PB;;;;Gö;;;
Pb;999,999;;;;;;
Pb;Pb 467 c.A 7Gö;;;;;;
PCC-1;East Austin Creek;Peridotite;Peridotite;Sunoma County, CA;United States Geological Survey;Split 70 Positon 5;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-PCC-1_1.html
PCC-1;East Austin Creek;Peridotite;Peridotite;Sunoma County, CA;United States Geological Survey;Split 80 Position 23;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-PCC-1_1.html
PD;;;;KTB;;Rodnummer2586;
PE-12;;;Perowskit;;;10 g;
PKP;KP-MiF;Peridotite;Peridotite;;;;
PM-S;Microgabbro PM-S GIT-IWG 1993;Gabbro;Microgabbro;Pitscurrie Quarry, Scotland, GBR;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";Split 5/49    Roth Nr. 2586;http://www.geostandards.lanl.gov/AllAnalytes/All-PM-S_1.html
PS-1;Standardprobe Pyrit PS-1;;Pyrit;Straßberg Bergakademie Freiberg DDR Sektion Geowissenschaften;;Ampullennummer 23;
Py 4575;;;Pyrit;;;10 ppm Cd   5ppm TC;
Py 5145;;;Pyrit;;;10 ppm Cd   16 ppm TC;
Q1;;;Quartz;Kragerö;;;
QLO-1;lava flow on flanks of extrusive dome, miocene;Quartz Latite;Quartz Latite (Dellenite);Lake County, OR;United States Geological Survey;Rothnummer 2586;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-QLO-1_1.html
